experiment_name,seed,agent,env_id,reward_mean,reward_std,success_rate,mean_episode_length,eval_mean_reward_last,final_model_path
simple_ga_discrete,7,simple_ga,MountainCar-v0,-132.78405271903904,29.879461603237818,0.78,148.24,-137.24560795011956,outputs/models/simple_ga_discrete_seed7_final
simple_ga_discrete,21,simple_ga,MountainCar-v0,-134.8412228411945,38.438473194532335,0.71,150.33,-83.35316085438826,outputs/models/simple_ga_discrete_seed21_final
simple_ga_discrete,42,simple_ga,MountainCar-v0,-147.81841124478433,25.134617255379254,0.705,169.4,-134.92780068778546,outputs/models/simple_ga_discrete_seed42_final
