episode,reward,length,success,seed
1,-200.0,200,0.0,126
2,-200.0,200,0.0,126
3,-200.0,200,0.0,126
4,-200.0,200,0.0,126
5,-200.0,200,0.0,126
6,-200.0,200,0.0,126
7,-200.0,200,0.0,126
8,-200.0,200,0.0,126
9,-200.0,200,0.0,126
10,-200.0,200,0.0,126
11,-200.0,200,0.0,126
12,-200.0,200,0.0,126
13,-200.0,200,0.0,126
14,-200.0,200,0.0,126
15,-200.0,200,0.0,126
16,-200.0,200,0.0,126
17,-200.0,200,0.0,126
18,-200.0,200,0.0,126
19,-200.0,200,0.0,126
20,-200.0,200,0.0,126
21,-200.0,200,0.0,126
22,-200.0,200,0.0,126
23,-200.0,200,0.0,126
24,-200.0,200,0.0,126
25,-200.0,200,0.0,126
26,-200.0,200,0.0,126
27,-200.0,200,0.0,126
28,-200.0,200,0.0,126
29,-200.0,200,0.0,126
30,-200.0,200,0.0,126
31,-200.0,200,0.0,126
32,-200.0,200,0.0,126
33,-200.0,200,0.0,126
34,-200.0,200,0.0,126
35,-200.0,200,0.0,126
36,-200.0,200,0.0,126
37,-200.0,200,0.0,126
38,-200.0,200,0.0,126
39,-200.0,200,0.0,126
40,-200.0,200,0.0,126
41,-200.0,200,0.0,126
42,-200.0,200,0.0,126
43,-200.0,200,0.0,126
44,-200.0,200,0.0,126
45,-200.0,200,0.0,126
46,-200.0,200,0.0,126
47,-200.0,200,0.0,126
48,-200.0,200,0.0,126
49,-200.0,200,0.0,126
50,-200.0,200,0.0,126
51,-200.0,200,0.0,126
52,-200.0,200,0.0,126
53,-200.0,200,0.0,126
54,-200.0,200,0.0,126
55,-200.0,200,0.0,126
56,-200.0,200,0.0,126
57,-200.0,200,0.0,126
58,-200.0,200,0.0,126
59,-200.0,200,0.0,126
60,-200.0,200,0.0,126
61,-200.0,200,0.0,126
62,-200.0,200,0.0,126
63,-200.0,200,0.0,126
64,-200.0,200,0.0,126
65,-200.0,200,0.0,126
66,-200.0,200,0.0,126
67,-200.0,200,0.0,126
68,-200.0,200,0.0,126
69,-200.0,200,0.0,126
70,-200.0,200,0.0,126
71,-200.0,200,0.0,126
72,-200.0,200,0.0,126
73,-200.0,200,0.0,126
74,-200.0,200,0.0,126
75,-200.0,200,0.0,126
76,-200.0,200,0.0,126
77,-200.0,200,0.0,126
78,-200.0,200,0.0,126
79,-200.0,200,0.0,126
80,-200.0,200,0.0,126
81,-200.0,200,0.0,126
82,-200.0,200,0.0,126
83,-200.0,200,0.0,126
84,-200.0,200,0.0,126
85,-200.0,200,0.0,126
86,-200.0,200,0.0,126
87,-200.0,200,0.0,126
88,-200.0,200,0.0,126
89,-200.0,200,0.0,126
90,-200.0,200,0.0,126
91,-200.0,200,0.0,126
92,-200.0,200,0.0,126
93,-200.0,200,0.0,126
94,-200.0,200,0.0,126
95,-200.0,200,0.0,126
96,-200.0,200,0.0,126
97,-200.0,200,0.0,126
98,-200.0,200,0.0,126
99,-200.0,200,0.0,126
100,-200.0,200,0.0,126
101,-200.0,200,0.0,126
102,-200.0,200,0.0,126
103,-200.0,200,0.0,126
104,-200.0,200,0.0,126
105,-200.0,200,0.0,126
106,-200.0,200,0.0,126
107,-200.0,200,0.0,126
108,-200.0,200,0.0,126
109,-200.0,200,0.0,126
110,-200.0,200,0.0,126
111,-200.0,200,0.0,126
112,-200.0,200,0.0,126
113,-200.0,200,0.0,126
114,-200.0,200,0.0,126
115,-200.0,200,0.0,126
116,-200.0,200,0.0,126
117,-200.0,200,0.0,126
118,-200.0,200,0.0,126
119,-200.0,200,0.0,126
120,-200.0,200,0.0,126
121,-200.0,200,0.0,126
122,-200.0,200,0.0,126
123,-200.0,200,0.0,126
124,-200.0,200,0.0,126
125,-200.0,200,0.0,126
126,-200.0,200,0.0,126
127,-200.0,200,0.0,126
128,-200.0,200,0.0,126
129,-200.0,200,0.0,126
130,-200.0,200,0.0,126
131,-200.0,200,0.0,126
132,-200.0,200,0.0,126
133,-200.0,200,0.0,126
134,-200.0,200,0.0,126
135,-200.0,200,0.0,126
136,-200.0,200,0.0,126
137,-200.0,200,0.0,126
138,-200.0,200,0.0,126
139,-200.0,200,0.0,126
140,-200.0,200,0.0,126
141,-200.0,200,0.0,126
142,-200.0,200,0.0,126
143,-200.0,200,0.0,126
144,-200.0,200,0.0,126
145,-200.0,200,0.0,126
146,-200.0,200,0.0,126
147,-200.0,200,0.0,126
148,-200.0,200,0.0,126
149,-200.0,200,0.0,126
150,-200.0,200,0.0,126
151,-200.0,200,0.0,126
152,-200.0,200,0.0,126
153,-200.0,200,0.0,126
154,-200.0,200,0.0,126
155,-200.0,200,0.0,126
156,-200.0,200,0.0,126
157,-200.0,200,0.0,126
158,-200.0,200,0.0,126
159,-200.0,200,0.0,126
160,-200.0,200,0.0,126
161,-200.0,200,0.0,126
162,-200.0,200,0.0,126
163,-200.0,200,0.0,126
164,-200.0,200,0.0,126
165,-200.0,200,0.0,126
166,-200.0,200,0.0,126
167,-200.0,200,0.0,126
168,-200.0,200,0.0,126
169,-200.0,200,0.0,126
170,-200.0,200,0.0,126
171,-200.0,200,0.0,126
172,-200.0,200,0.0,126
173,-200.0,200,0.0,126
174,-200.0,200,0.0,126
175,-200.0,200,0.0,126
176,-200.0,200,0.0,126
177,-200.0,200,0.0,126
178,-200.0,200,0.0,126
179,-200.0,200,0.0,126
180,-200.0,200,0.0,126
181,-200.0,200,0.0,126
182,-200.0,200,0.0,126
183,-200.0,200,0.0,126
184,-200.0,200,0.0,126
185,-200.0,200,0.0,126
186,-200.0,200,0.0,126
187,-200.0,200,0.0,126
188,-200.0,200,0.0,126
189,-200.0,200,0.0,126
190,-200.0,200,0.0,126
191,-200.0,200,0.0,126
192,-200.0,200,0.0,126
193,-200.0,200,0.0,126
194,-200.0,200,0.0,126
195,-200.0,200,0.0,126
196,-200.0,200,0.0,126
197,-200.0,200,0.0,126
198,-200.0,200,0.0,126
199,-200.0,200,0.0,126
200,-200.0,200,0.0,126
201,-200.0,200,0.0,126
202,-200.0,200,0.0,126
203,-200.0,200,0.0,126
204,-200.0,200,0.0,126
205,-200.0,200,0.0,126
206,-200.0,200,0.0,126
207,-200.0,200,0.0,126
208,-200.0,200,0.0,126
209,-200.0,200,0.0,126
210,-200.0,200,0.0,126
211,-200.0,200,0.0,126
212,-200.0,200,0.0,126
213,-200.0,200,0.0,126
214,-200.0,200,0.0,126
215,-200.0,200,0.0,126
216,-200.0,200,0.0,126
217,-200.0,200,0.0,126
218,-200.0,200,0.0,126
219,-200.0,200,0.0,126
220,-200.0,200,0.0,126
221,-200.0,200,0.0,126
222,-200.0,200,0.0,126
223,-200.0,200,0.0,126
224,-200.0,200,0.0,126
225,-200.0,200,0.0,126
226,-200.0,200,0.0,126
227,-200.0,200,0.0,126
228,-200.0,200,0.0,126
229,-200.0,200,0.0,126
230,-200.0,200,0.0,126
231,-200.0,200,0.0,126
232,-200.0,200,0.0,126
233,-200.0,200,0.0,126
234,-200.0,200,0.0,126
235,-200.0,200,0.0,126
236,-200.0,200,0.0,126
237,-200.0,200,0.0,126
238,-200.0,200,0.0,126
239,-200.0,200,0.0,126
240,-200.0,200,0.0,126
241,-200.0,200,0.0,126
242,-200.0,200,0.0,126
243,-200.0,200,0.0,126
244,-200.0,200,0.0,126
245,-200.0,200,0.0,126
246,-200.0,200,0.0,126
247,-200.0,200,0.0,126
248,-200.0,200,0.0,126
249,-200.0,200,0.0,126
250,-200.0,200,0.0,126
251,-200.0,200,0.0,126
252,-200.0,200,0.0,126
253,-200.0,200,0.0,126
254,-200.0,200,0.0,126
255,-200.0,200,0.0,126
256,-200.0,200,0.0,126
257,-200.0,200,0.0,126
258,-200.0,200,0.0,126
259,-200.0,200,0.0,126
260,-200.0,200,0.0,126
261,-200.0,200,0.0,126
262,-200.0,200,0.0,126
263,-200.0,200,0.0,126
264,-200.0,200,0.0,126
265,-200.0,200,0.0,126
266,-200.0,200,0.0,126
267,-200.0,200,0.0,126
268,-200.0,200,0.0,126
269,-200.0,200,0.0,126
270,-200.0,200,0.0,126
271,-200.0,200,0.0,126
272,-200.0,200,0.0,126
273,-200.0,200,0.0,126
274,-200.0,200,0.0,126
275,-200.0,200,0.0,126
276,-200.0,200,0.0,126
277,-200.0,200,0.0,126
278,-200.0,200,0.0,126
279,-200.0,200,0.0,126
280,-200.0,200,0.0,126
281,-200.0,200,0.0,126
282,-200.0,200,0.0,126
283,-200.0,200,0.0,126
284,-200.0,200,0.0,126
285,-200.0,200,0.0,126
286,-200.0,200,0.0,126
287,-200.0,200,0.0,126
288,-200.0,200,0.0,126
289,-200.0,200,0.0,126
290,-200.0,200,0.0,126
291,-200.0,200,0.0,126
292,-200.0,200,0.0,126
293,-200.0,200,0.0,126
294,-200.0,200,0.0,126
295,-200.0,200,0.0,126
296,-200.0,200,0.0,126
297,-200.0,200,0.0,126
298,-200.0,200,0.0,126
299,-200.0,200,0.0,126
300,-200.0,200,0.0,126
301,-200.0,200,0.0,126
302,-200.0,200,0.0,126
303,-200.0,200,0.0,126
304,-200.0,200,0.0,126
305,-200.0,200,0.0,126
306,-200.0,200,0.0,126
307,-200.0,200,0.0,126
308,-200.0,200,0.0,126
309,-200.0,200,0.0,126
310,-200.0,200,0.0,126
311,-200.0,200,0.0,126
312,-200.0,200,0.0,126
313,-200.0,200,0.0,126
314,-200.0,200,0.0,126
315,-200.0,200,0.0,126
