episode,reward,length,success,seed
138,-198.73057510711098,200,0.0,7
139,-198.6849474631091,200,0.0,7
140,-199.04368924546208,200,0.0,7
141,-199.22501236183246,200,0.0,7
142,-199.19408353095784,200,0.0,7
143,-199.2957147110398,200,0.0,7
144,-199.98388164282935,200,0.0,7
145,-199.6584194768965,200,0.0,7
146,-199.8385102361295,200,0.0,7
147,-198.50432298096706,200,0.0,7
148,-198.87978482223406,200,0.0,7
149,-198.98463770348172,200,0.0,7
150,-199.86813906295762,200,0.0,7
151,-199.79862503567014,200,0.0,7
152,-199.33859132153788,200,0.0,7
153,-199.80812212747148,200,0.0,7
154,-199.04764316246005,200,0.0,7
155,-199.3170303397134,200,0.0,7
156,-199.4979270853008,200,0.0,7
157,-199.61371703348607,200,0.0,7
158,-199.51263110138473,200,0.0,7
159,-199.23433848467346,200,0.0,7
160,-199.406750745092,200,0.0,7
161,-198.85900643609787,200,0.0,7
162,-199.83544365282097,200,0.0,7
163,-199.3005438985731,200,0.0,7
164,-198.39806032916815,200,0.0,7
165,-199.86676823301767,200,0.0,7
166,-199.53979830364804,200,0.0,7
167,-199.93144586615054,200,0.0,7
168,-199.5884286144337,200,0.0,7
169,-199.19190569571077,200,0.0,7
170,-199.34782058592583,200,0.0,7
171,-199.5345285062154,200,0.0,7
172,-199.86275945778686,200,0.0,7
173,-199.56217600343456,200,0.0,7
174,-153.87683299151553,156,1.0,7
175,-199.27531234765954,200,0.0,7
176,-114.90825535394255,116,1.0,7
177,-175.29064845785712,178,1.0,7
178,-94.85820599470756,96,1.0,7
179,-178.15574539285146,181,1.0,7
180,-169.36168778830336,172,1.0,7
181,-199.239731933282,200,0.0,7
182,-162.4248367511784,165,1.0,7
183,-86.88830113722835,88,1.0,7
184,-87.85370128501673,89,1.0,7
185,-199.2151917831849,200,0.0,7
186,-199.9896234500758,200,0.0,7
187,-157.3590145129128,160,1.0,7
188,-148.4026018025121,151,1.0,7
189,-198.23885474308625,200,0.0,7
190,-199.93510220691536,200,0.0,7
191,-151.45418446869004,154,1.0,7
192,-199.25496151561234,200,0.0,7
193,-143.57322728837605,146,1.0,7
194,-199.85114767835333,200,0.0,7
195,-85.84571240984371,87,1.0,7
196,-113.38685776802303,115,1.0,7
197,-158.2733971525945,161,1.0,7
198,-88.8876771636307,90,1.0,7
199,-199.78196341902284,200,0.0,7
200,-199.54448571756444,200,0.0,7
201,-169.243830677835,172,1.0,7
202,-199.66912203628226,200,0.0,7
203,-150.48724653278478,153,1.0,7
204,-199.53178038824854,200,0.0,7
205,-94.90489451047618,96,1.0,7
206,-142.54818019251104,145,1.0,7
207,-199.28684631160817,200,0.0,7
208,-91.88477783838752,93,1.0,7
209,-198.97336415978782,200,0.0,7
210,-199.6806647145346,200,0.0,7
211,-199.65747097169145,200,0.0,7
212,-199.44206411315974,200,0.0,7
213,-90.79435570494972,92,1.0,7
214,-199.38403201296896,200,0.0,7
215,-199.59838066739047,200,0.0,7
216,-198.8999689073548,200,0.0,7
217,-183.16252155902043,186,1.0,7
218,-99.86356452759351,101,1.0,7
219,-92.82772085086617,94,1.0,7
220,-186.12966441672043,189,1.0,7
221,-199.48319430447987,200,0.0,7
222,-199.77185097744876,200,0.0,7
223,-171.50604808029956,173,1.0,7
224,-199.69438552022618,200,0.0,7
225,-199.7497616946407,200,0.0,7
226,-199.44945452969688,200,0.0,7
227,-109.75498183988385,111,1.0,7
228,-148.8217564036255,151,1.0,7
229,-92.83935477110793,94,1.0,7
230,-91.88059157455577,93,1.0,7
231,-199.66230090568598,200,0.0,7
232,-199.27759332478448,200,0.0,7
