episode,reward,length,success,population_std,seed
1,-161.90172354588867,200,0.0,,7
2,-169.12016261470853,200,0.0,,7
3,-156.79146624745044,200,0.0,,7
4,-162.91114109073533,200,0.0,,7
5,-152.7565847824735,200,0.0,,7
6,-162.46377933275653,200,0.0,,7
7,-152.54451879482076,200,0.0,,7
8,-162.72548010820174,200,0.0,,7
9,-162.466889207426,200,0.0,,7
10,-145.65274546999717,200,0.0,,7
11,-167.628880355187,200,0.0,,7
12,-137.67714728066494,200,0.0,,7
13,-166.80766837820556,200,0.0,,7
14,-160.11551148425497,200,0.0,,7
15,-143.42460701987875,200,0.0,,7
16,-152.6486985158408,200,0.0,,7
17,-153.2278108826722,200,0.0,,7
18,-176.91352280682622,200,0.0,,7
19,-132.4553544673836,200,0.0,,7
20,-132.0946865498263,200,0.0,,7
21,-185.9791389054135,200,0.0,,7
22,-135.24449740722048,200,0.0,,7
23,-131.8844694706786,200,0.0,,7
24,-179.38017992928508,200,0.0,,7
25,-190.78279435540026,200,0.0,,7
26,-181.90670215321006,200,0.0,,7
27,-186.3094168832231,200,0.0,,7
28,-176.31417075914214,200,0.0,,7
29,-184.48958387733,200,0.0,,7
30,-177.22831865918124,200,0.0,,7
31,-185.5558899594689,200,0.0,,7
32,-94.85307836247375,143,1.0,,7
33,-80.67704607281485,165,1.0,,7
34,-72.64348274492659,177,1.0,,7
35,-78.04791925277095,169,1.0,,7
36,-77.88652769033797,169,1.0,,7
37,-71.88896415469935,189,1.0,,7
38,-71.24010047690535,178,1.0,,7
39,-72.63532599981409,191,1.0,,7
40,-77.69079748925287,169,1.0,,7
41,-70.73091947415378,185,1.0,,7
42,-59.101918804692104,152,1.0,,7
43,-60.57790589053184,145,1.0,,7
44,-60.57841859117616,145,1.0,,7
45,-66.66920202237088,144,1.0,,7
46,-68.73439983744174,142,1.0,,7
47,-65.94517075852491,142,1.0,,7
48,-50.45695079847064,90,1.0,,7
49,-62.577605405589566,99,1.0,,7
50,-80.97713841954828,160,1.0,,7
51,-75.75089207373094,162,1.0,,7
52,-91.29538190438382,165,1.0,,7
53,-50.949232197890524,90,1.0,,7
54,-60.862350884475745,149,1.0,,7
55,-57.48671354725957,115,1.0,,7
56,-46.51248527099597,110,1.0,,7
57,-61.23668072023429,149,1.0,,7
58,-50.16345438710414,112,1.0,,7
59,-64.7544133918127,152,1.0,,7
60,-64.74527829163708,153,1.0,,7
61,-75.5885955291451,152,1.0,,7
62,-64.26492498605512,165,1.0,,7
63,-51.34285210981034,90,1.0,,7
64,-69.64674313546857,151,1.0,,7
65,-66.69206982443575,151,1.0,,7
66,-75.34321085814736,152,1.0,,7
67,-47.44762621028349,86,1.0,,7
68,-63.31420230236836,166,1.0,,7
69,-58.68649966875091,154,1.0,,7
70,-56.41531792189926,113,1.0,,7
71,-57.01480068336241,113,1.0,,7
72,-57.29492926283274,113,1.0,,7
73,-63.02271847461816,166,1.0,,7
74,-55.98250746292615,114,1.0,,7
75,-58.21674615610391,150,1.0,,7
76,-43.43368808321247,83,1.0,,7
77,-58.84994324418949,149,1.0,,7
78,-58.157625555060804,152,1.0,,7
79,-50.719509921911595,112,1.0,,7
80,-48.72822403698228,111,1.0,,7
81,-60.48107105598319,160,1.0,,7
82,-47.12043477455154,110,1.0,,7
83,-59.18981322227046,156,1.0,,7
84,-59.23246336122975,158,1.0,,7
85,-47.09382595960051,110,1.0,,7
86,-46.374812859576195,110,1.0,,7
87,-50.37966098100878,112,1.0,,7
88,-62.94147901143879,166,1.0,,7
89,-59.25691096531227,148,1.0,,7
90,-58.48079834738746,151,1.0,,7
91,-56.036461447773036,113,1.0,,7
92,-55.285408167750575,114,1.0,,7
93,-63.2410847840365,166,1.0,,7
94,-47.14232180733234,110,1.0,,7
95,-57.51899056104594,113,1.0,,7
96,-49.1207277730573,111,1.0,,7
97,-58.427832836750895,150,1.0,,7
98,-55.59503596689319,114,1.0,,7
99,-62.91601689439267,166,1.0,,7
100,-59.15950577775948,158,1.0,,7
101,-58.24909488018602,152,1.0,,7
102,-55.190839635091834,114,1.0,,7
103,-58.68526551965624,154,1.0,,7
104,-42.984044544398785,83,1.0,,7
105,-57.287803238257766,113,1.0,,7
106,-48.78538312588353,111,1.0,,7
107,-58.687461100984365,154,1.0,,7
108,-48.77155275864061,111,1.0,,7
109,-57.82395847211592,113,1.0,,7
110,-58.54838584223762,151,1.0,,7
111,-49.502327480237,111,1.0,,7
112,-67.47926346518216,173,1.0,,7
113,-58.127764395438135,113,1.0,,7
114,-56.34972579788882,113,1.0,,7
115,-46.36748241027817,110,1.0,,7
116,-47.454486584989354,86,1.0,,7
117,-44.95155525195878,84,1.0,,7
118,-59.01120891654864,149,1.0,,7
119,-58.4990384215489,113,1.0,,7
120,-46.586578101851046,110,1.0,,7
121,-50.38439585262677,112,1.0,,7
122,-60.72570510924561,162,1.0,,7
123,-58.620679690735415,151,1.0,,7
124,-58.500579562969506,150,1.0,,7
125,-49.499450832023285,111,1.0,,7
126,-57.377740348281804,113,1.0,,7
127,-56.71699494717177,113,1.0,,7
128,-59.290574363898486,149,1.0,,7
129,-59.24733697716147,157,1.0,,7
130,-58.50833285972476,151,1.0,,7
131,-59.34428637474775,149,1.0,,7
132,-54.68279099324718,115,1.0,,7
133,-44.501387678668834,84,1.0,,7
134,-58.500011453870684,150,1.0,,7
135,-47.47175451600924,110,1.0,,7
136,-59.146829809527844,149,1.0,,7
137,-47.36413362668827,110,1.0,,7
138,-44.606634258292615,84,1.0,,7
139,-60.43422376678791,160,1.0,,7
140,-43.694561246200465,83,1.0,,7
141,-59.35107823996805,148,1.0,,7
142,-50.74727840660853,112,1.0,,7
143,-57.660204683896154,113,1.0,,7
144,-55.058211514609866,114,1.0,,7
145,-58.20399571256712,152,1.0,,7
146,-46.90010153921321,110,1.0,,7
147,-59.23112454265356,156,1.0,,7
148,-59.11015927745029,158,1.0,,7
149,-50.63341647040215,112,1.0,,7
150,-49.63138913089642,111,1.0,,7
151,-47.33897662255913,110,1.0,,7
152,-59.06722784368321,149,1.0,,7
153,-47.117160408524796,110,1.0,,7
154,-49.47641166008543,111,1.0,,7
155,-48.49306883336976,87,1.0,,7
156,-55.74449568934506,114,1.0,,7
157,-58.606875891797245,151,1.0,,7
158,-53.74946004920639,114,1.0,,7
159,-58.147314896807075,152,1.0,,7
160,-56.16151330700086,114,1.0,,7
161,-53.47648425295483,114,1.0,,7
162,-47.292291758349165,110,1.0,,7
163,-46.24848139937967,110,1.0,,7
164,-44.49320980528137,84,1.0,,7
165,-46.13163230067585,85,1.0,,7
166,-58.27294017421082,150,1.0,,7
167,-59.26777640986256,157,1.0,,7
168,-60.28021164529491,160,1.0,,7
169,-52.51547909062356,113,1.0,,7
170,-59.20049112685956,157,1.0,,7
171,-47.38079109368846,86,1.0,,7
172,-60.60818510153331,161,1.0,,7
173,-55.1714760272298,114,1.0,,7
174,-58.241675689350814,150,1.0,,7
175,-46.26973020262085,85,1.0,,7
176,-59.003651132574305,149,1.0,,7
177,-52.12941530608805,113,1.0,,7
