episode,reward,length,success,seed
1,-200.0,200,0.0,42
2,-200.0,200,0.0,42
3,-200.0,200,0.0,42
4,-200.0,200,0.0,42
5,-200.0,200,0.0,42
6,-200.0,200,0.0,42
7,-200.0,200,0.0,42
8,-200.0,200,0.0,42
9,-200.0,200,0.0,42
10,-200.0,200,0.0,42
11,-200.0,200,0.0,42
12,-200.0,200,0.0,42
13,-200.0,200,0.0,42
14,-200.0,200,0.0,42
15,-200.0,200,0.0,42
16,-200.0,200,0.0,42
17,-200.0,200,0.0,42
18,-200.0,200,0.0,42
19,-200.0,200,0.0,42
20,-200.0,200,0.0,42
21,-200.0,200,0.0,42
22,-200.0,200,0.0,42
23,-200.0,200,0.0,42
24,-200.0,200,0.0,42
25,-200.0,200,0.0,42
26,-200.0,200,0.0,42
27,-200.0,200,0.0,42
28,-200.0,200,0.0,42
29,-200.0,200,0.0,42
30,-200.0,200,0.0,42
31,-200.0,200,0.0,42
32,-200.0,200,0.0,42
33,-200.0,200,0.0,42
34,-200.0,200,0.0,42
35,-200.0,200,0.0,42
36,-200.0,200,0.0,42
37,-200.0,200,0.0,42
38,-200.0,200,0.0,42
39,-200.0,200,0.0,42
40,-200.0,200,0.0,42
41,-200.0,200,0.0,42
42,-200.0,200,0.0,42
43,-200.0,200,0.0,42
44,-200.0,200,0.0,42
45,-200.0,200,0.0,42
46,-200.0,200,0.0,42
47,-200.0,200,0.0,42
48,-200.0,200,0.0,42
49,-200.0,200,0.0,42
50,-200.0,200,0.0,42
51,-200.0,200,0.0,42
52,-200.0,200,0.0,42
53,-200.0,200,0.0,42
54,-200.0,200,0.0,42
55,-200.0,200,0.0,42
56,-200.0,200,0.0,42
57,-200.0,200,0.0,42
58,-200.0,200,0.0,42
59,-200.0,200,0.0,42
60,-200.0,200,0.0,42
61,-200.0,200,0.0,42
62,-200.0,200,0.0,42
63,-200.0,200,0.0,42
64,-200.0,200,0.0,42
65,-200.0,200,0.0,42
66,-200.0,200,0.0,42
67,-200.0,200,0.0,42
68,-200.0,200,0.0,42
69,-200.0,200,0.0,42
70,-200.0,200,0.0,42
71,-200.0,200,0.0,42
72,-200.0,200,0.0,42
73,-200.0,200,0.0,42
74,-200.0,200,0.0,42
75,-200.0,200,0.0,42
76,-200.0,200,0.0,42
77,-200.0,200,0.0,42
78,-200.0,200,0.0,42
79,-200.0,200,0.0,42
80,-200.0,200,0.0,42
81,-200.0,200,0.0,42
82,-200.0,200,0.0,42
83,-200.0,200,0.0,42
84,-200.0,200,0.0,42
85,-200.0,200,0.0,42
86,-200.0,200,0.0,42
87,-200.0,200,0.0,42
88,-200.0,200,0.0,42
89,-200.0,200,0.0,42
90,-200.0,200,0.0,42
91,-200.0,200,0.0,42
92,-200.0,200,0.0,42
93,-200.0,200,0.0,42
94,-200.0,200,0.0,42
95,-200.0,200,0.0,42
96,-200.0,200,0.0,42
97,-200.0,200,0.0,42
98,-200.0,200,0.0,42
99,-200.0,200,0.0,42
100,-200.0,200,0.0,42
101,-200.0,200,0.0,42
102,-200.0,200,0.0,42
103,-200.0,200,0.0,42
104,-200.0,200,0.0,42
105,-200.0,200,0.0,42
106,-200.0,200,0.0,42
107,-200.0,200,0.0,42
108,-200.0,200,0.0,42
109,-200.0,200,0.0,42
110,-200.0,200,0.0,42
111,-200.0,200,0.0,42
112,-200.0,200,0.0,42
113,-200.0,200,0.0,42
114,-200.0,200,0.0,42
115,-200.0,200,0.0,42
116,-200.0,200,0.0,42
117,-200.0,200,0.0,42
118,-200.0,200,0.0,42
119,-200.0,200,0.0,42
120,-200.0,200,0.0,42
121,-200.0,200,0.0,42
122,-200.0,200,0.0,42
123,-200.0,200,0.0,42
124,-200.0,200,0.0,42
125,-200.0,200,0.0,42
126,-200.0,200,0.0,42
127,-200.0,200,0.0,42
128,-200.0,200,0.0,42
129,-200.0,200,0.0,42
130,-200.0,200,0.0,42
131,-200.0,200,0.0,42
132,-200.0,200,0.0,42
133,-200.0,200,0.0,42
134,-200.0,200,0.0,42
135,-200.0,200,0.0,42
136,-200.0,200,0.0,42
137,-200.0,200,0.0,42
138,-200.0,200,0.0,42
139,-200.0,200,0.0,42
140,-200.0,200,0.0,42
141,-200.0,200,0.0,42
142,-200.0,200,0.0,42
143,-200.0,200,0.0,42
144,-200.0,200,0.0,42
145,-200.0,200,0.0,42
146,-200.0,200,0.0,42
147,-200.0,200,0.0,42
148,-200.0,200,0.0,42
149,-200.0,200,0.0,42
150,-200.0,200,0.0,42
151,-200.0,200,0.0,42
152,-200.0,200,0.0,42
153,-200.0,200,0.0,42
154,-200.0,200,0.0,42
155,-200.0,200,0.0,42
156,-200.0,200,0.0,42
157,-200.0,200,0.0,42
158,-200.0,200,0.0,42
159,-200.0,200,0.0,42
160,-200.0,200,0.0,42
161,-200.0,200,0.0,42
162,-200.0,200,0.0,42
163,-200.0,200,0.0,42
164,-200.0,200,0.0,42
165,-200.0,200,0.0,42
166,-200.0,200,0.0,42
167,-200.0,200,0.0,42
168,-200.0,200,0.0,42
169,-200.0,200,0.0,42
170,-200.0,200,0.0,42
171,-200.0,200,0.0,42
172,-200.0,200,0.0,42
173,-200.0,200,0.0,42
174,-200.0,200,0.0,42
175,-200.0,200,0.0,42
176,-200.0,200,0.0,42
177,-200.0,200,0.0,42
178,-200.0,200,0.0,42
179,-200.0,200,0.0,42
180,-200.0,200,0.0,42
181,-200.0,200,0.0,42
182,-200.0,200,0.0,42
183,-200.0,200,0.0,42
184,-200.0,200,0.0,42
185,-200.0,200,0.0,42
186,-200.0,200,0.0,42
187,-200.0,200,0.0,42
188,-200.0,200,0.0,42
189,-200.0,200,0.0,42
190,-200.0,200,0.0,42
191,-200.0,200,0.0,42
192,-200.0,200,0.0,42
193,-200.0,200,0.0,42
194,-200.0,200,0.0,42
195,-200.0,200,0.0,42
196,-200.0,200,0.0,42
197,-200.0,200,0.0,42
198,-200.0,200,0.0,42
199,-200.0,200,0.0,42
200,-200.0,200,0.0,42
201,-200.0,200,0.0,42
202,-200.0,200,0.0,42
203,-200.0,200,0.0,42
204,-200.0,200,0.0,42
205,-200.0,200,0.0,42
206,-200.0,200,0.0,42
207,-200.0,200,0.0,42
208,-200.0,200,0.0,42
209,-200.0,200,0.0,42
210,-200.0,200,0.0,42
211,-200.0,200,0.0,42
212,-200.0,200,0.0,42
213,-200.0,200,0.0,42
214,-200.0,200,0.0,42
215,-200.0,200,0.0,42
216,-200.0,200,0.0,42
217,-200.0,200,0.0,42
218,-200.0,200,0.0,42
219,-200.0,200,0.0,42
220,-200.0,200,0.0,42
221,-200.0,200,0.0,42
222,-200.0,200,0.0,42
223,-200.0,200,0.0,42
224,-200.0,200,0.0,42
225,-200.0,200,0.0,42
226,-200.0,200,0.0,42
227,-200.0,200,0.0,42
228,-200.0,200,0.0,42
229,-200.0,200,0.0,42
230,-200.0,200,0.0,42
231,-200.0,200,0.0,42
232,-200.0,200,0.0,42
233,-200.0,200,0.0,42
234,-200.0,200,0.0,42
235,-200.0,200,0.0,42
236,-200.0,200,0.0,42
237,-200.0,200,0.0,42
238,-200.0,200,0.0,42
239,-200.0,200,0.0,42
240,-200.0,200,0.0,42
241,-200.0,200,0.0,42
242,-200.0,200,0.0,42
243,-200.0,200,0.0,42
244,-200.0,200,0.0,42
245,-200.0,200,0.0,42
246,-200.0,200,0.0,42
247,-200.0,200,0.0,42
248,-200.0,200,0.0,42
249,-200.0,200,0.0,42
250,-200.0,200,0.0,42
251,-200.0,200,0.0,42
252,-200.0,200,0.0,42
253,-200.0,200,0.0,42
254,-200.0,200,0.0,42
255,-200.0,200,0.0,42
256,-200.0,200,0.0,42
257,-200.0,200,0.0,42
258,-200.0,200,0.0,42
259,-200.0,200,0.0,42
260,-200.0,200,0.0,42
261,-200.0,200,0.0,42
262,-200.0,200,0.0,42
263,-200.0,200,0.0,42
264,-200.0,200,0.0,42
265,-200.0,200,0.0,42
266,-200.0,200,0.0,42
267,-200.0,200,0.0,42
268,-200.0,200,0.0,42
269,-200.0,200,0.0,42
270,-200.0,200,0.0,42
271,-200.0,200,0.0,42
272,-200.0,200,0.0,42
273,-200.0,200,0.0,42
274,-200.0,200,0.0,42
275,-200.0,200,0.0,42
